Second;RAM_KB
0;755302.40000000002328306436538696289062500000000000000000
1;62445977.60000000149011611938476562500000000000000000000000
2;76219187.20000000298023223876953125000000000000000000000000
3;126255104.00000000000000000000000000000000000000000000000000
4;216693964.80000001192092895507812500000000000000000000000000
5;241483776.00000000000000000000000000000000000000000000000000
6;252507750.40000000596046447753906250000000000000000000000000
7;260375347.19999998807907104492187500000000000000000000000000
8;260481024.00000000000000000000000000000000000000000000000000
9;260917657.59999999403953552246093750000000000000000000000000
10;261496012.80000001192092895507812500000000000000000000000000
11;261931008.00000000000000000000000000000000000000000000000000
12;262723993.59999999403953552246093750000000000000000000000000
13;274966937.60000002384185791015625000000000000000000000000000
14;284513075.19999998807907104492187500000000000000000000000000
15;288874496.00000000000000000000000000000000000000000000000000
16;293117132.80000001192092895507812500000000000000000000000000
17;294967705.60000002384185791015625000000000000000000000000000
18;296961638.39999997615814208984375000000000000000000000000000
19;306112102.39999997615814208984375000000000000000000000000000
20;306695372.80000001192092895507812500000000000000000000000000
21;307917619.19999998807907104492187500000000000000000000000000
22;309342208.00000000000000000000000000000000000000000000000000
23;310639820.80000001192092895507812500000000000000000000000000
24;311587635.19999998807907104492187500000000000000000000000000
25;312827904.00000000000000000000000000000000000000000000000000
26;314123059.19999998807907104492187500000000000000000000000000
27;315024179.19999998807907104492187500000000000000000000000000
28;316100608.00000000000000000000000000000000000000000000000000
29;317530112.00000000000000000000000000000000000000000000000000
30;318965350.39999997615814208984375000000000000000000000000000
31;319777177.60000002384185791015625000000000000000000000000000
32;320768409.60000002384185791015625000000000000000000000000000
33;322016870.39999997615814208984375000000000000000000000000000
34;323045785.60000002384185791015625000000000000000000000000000
35;324163174.39999997615814208984375000000000000000000000000000
36;325189632.00000000000000000000000000000000000000000000000000
37;326592102.39999997615814208984375000000000000000000000000000
38;327489126.39999997615814208984375000000000000000000000000000
39;328390246.39999997615814208984375000000000000000000000000000
40;329394585.60000002384185791015625000000000000000000000000000
41;330516889.60000002384185791015625000000000000000000000000000
42;331839078.39999997615814208984375000000000000000000000000000
43;333011353.60000002384185791015625000000000000000000000000000
44;334827520.00000000000000000000000000000000000000000000000000
45;335672934.39999997615814208984375000000000000000000000000000
46;336629760.00000000000000000000000000000000000000000000000000
47;337949491.19999998807907104492187500000000000000000000000000
48;339219251.19999998807907104492187500000000000000000000000000
49;340947763.19999998807907104492187500000000000000000000000000
50;342287155.19999998807907104492187500000000000000000000000000
51;343643750.39999997615814208984375000000000000000000000000000
52;344675123.19999998807907104492187500000000000000000000000000
53;346111180.80000001192092895507812500000000000000000000000000
54;347102412.80000001192092895507812500000000000000000000000000
55;347102412.80000001192092895507812500000000000000000000000000
56;395578572.80000001192092895507812500000000000000000000000000
57;395533516.80000001192092895507812500000000000000000000000000
58;395585945.60000002384185791015625000000000000000000000000000
59;395563008.00000000000000000000000000000000000000000000000000
60;395542528.00000000000000000000000000000000000000000000000000
61;395524505.60000002384185791015625000000000000000000000000000
62;395497472.00000000000000000000000000000000000000000000000000
63;395491737.60000002384185791015625000000000000000000000000000
64;395491737.60000002384185791015625000000000000000000000000000
65;395476992.00000000000000000000000000000000000000000000000000
66;395495833.60000002384185791015625000000000000000000000000000
67;395482726.39999997615814208984375000000000000000000000000000
68;395540070.39999997615814208984375000000000000000000000000000
69;395540070.39999997615814208984375000000000000000000000000000
70;395533516.80000001192092895507812500000000000000000000000000
71;395487641.60000002384185791015625000000000000000000000000000
72;395500748.80000001192092895507812500000000000000000000000000
73;395504025.60000002384185791015625000000000000000000000000000
74;395499110.39999997615814208984375000000000000000000000000000
75;395499110.39999997615814208984375000000000000000000000000000
76;395525324.80000001192092895507812500000000000000000000000000
77;395505664.00000000000000000000000000000000000000000000000000
78;395506483.19999998807907104492187500000000000000000000000000
79;395505664.00000000000000000000000000000000000000000000000000
80;395544985.60000002384185791015625000000000000000000000000000
81;395551539.19999998807907104492187500000000000000000000000000
82;395525324.80000001192092895507812500000000000000000000000000
83;395512217.60000002384185791015625000000000000000000000000000
84;395525324.80000001192092895507812500000000000000000000000000
85;395505664.00000000000000000000000000000000000000000000000000
86;395499110.39999997615814208984375000000000000000000000000000
87;395499110.39999997615814208984375000000000000000000000000000
88;395512217.60000002384185791015625000000000000000000000000000
89;395551539.19999998807907104492187500000000000000000000000000
90;395499110.39999997615814208984375000000000000000000000000000
91;395499110.39999997615814208984375000000000000000000000000000
92;395499110.39999997615814208984375000000000000000000000000000
93;395506483.19999998807907104492187500000000000000000000000000
94;375915315.19999998807907104492187500000000000000000000000000
95;376561664.00000000000000000000000000000000000000000000000000
96;377355468.80000001192092895507812500000000000000000000000000
97;377845350.39999997615814208984375000000000000000000000000000
98;378562969.60000002384185791015625000000000000000000000000000
99;379347763.19999998807907104492187500000000000000000000000000
100;379859763.19999998807907104492187500000000000000000000000000
101;380685516.80000001192092895507812500000000000000000000000000
102;381098393.60000002384185791015625000000000000000000000000000
103;381866803.19999998807907104492187500000000000000000000000000
104;382563942.39999997615814208984375000000000000000000000000000
105;383046451.19999998807907104492187500000000000000000000000000
106;383720652.80000001192092895507812500000000000000000000000000
107;384047513.60000002384185791015625000000000000000000000000000
108;384944537.60000002384185791015625000000000000000000000000000
109;385708032.00000000000000000000000000000000000000000000000000
110;386868838.39999997615814208984375000000000000000000000000000
111;387177676.80000001192092895507812500000000000000000000000000
112;387962470.39999997615814208984375000000000000000000000000000
113;389251072.00000000000000000000000000000000000000000000000000
114;389591040.00000000000000000000000000000000000000000000000000
115;391249100.80000001192092895507812500000000000000000000000000
116;391376896.00000000000000000000000000000000000000000000000000
117;392186265.60000002384185791015625000000000000000000000000000
118;393782886.39999997615814208984375000000000000000000000000000
119;393955737.60000002384185791015625000000000000000000000000000
120;394794598.39999997615814208984375000000000000000000000000000
121;395453235.19999998807907104492187500000000000000000000000000
122;396371558.39999997615814208984375000000000000000000000000000
123;396478054.39999997615814208984375000000000000000000000000000
124;396478873.60000002384185791015625000000000000000000000000000
125;396472320.00000000000000000000000000000000000000000000000000
126;396496896.00000000000000000000000000000000000000000000000000
127;396478873.60000002384185791015625000000000000000000000000000
128;396518195.19999998807907104492187500000000000000000000000000
129;396473139.19999998807907104492187500000000000000000000000000
130;396465766.39999997615814208984375000000000000000000000000000
131;396465766.39999997615814208984375000000000000000000000000000
132;396472320.00000000000000000000000000000000000000000000000000
133;396496896.00000000000000000000000000000000000000000000000000
134;396478873.60000002384185791015625000000000000000000000000000
135;396571443.19999998807907104492187500000000000000000000000000
136;396571443.19999998807907104492187500000000000000000000000000
137;396526387.19999998807907104492187500000000000000000000000000
