Second;RAM_KB
0;6280.00000000000000000000000000000000000000000000000000
1;322952.00000000000000000000000000000000000000000000000000
2;375064.00000000000000000000000000000000000000000000000000
3;692652.00000000000000000000000000000000000000000000000000
4;748056.00000000000000000000000000000000000000000000000000
5;780924.00000000000000000000000000000000000000000000000000
6;820036.00000000000000000000000000000000000000000000000000
7;823372.00000000000000000000000000000000000000000000000000
8;824476.00000000000000000000000000000000000000000000000000
9;825888.00000000000000000000000000000000000000000000000000
10;826944.00000000000000000000000000000000000000000000000000
11;829728.00000000000000000000000000000000000000000000000000
12;892840.00000000000000000000000000000000000000000000000000
13;916880.00000000000000000000000000000000000000000000000000
14;916884.00000000000000000000000000000000000000000000000000
15;928528.00000000000000000000000000000000000000000000000000
16;948452.00000000000000000000000000000000000000000000000000
17;977752.00000000000000000000000000000000000000000000000000
18;981960.00000000000000000000000000000000000000000000000000
19;987280.00000000000000000000000000000000000000000000000000
20;990388.00000000000000000000000000000000000000000000000000
21;994852.00000000000000000000000000000000000000000000000000
22;1000308.00000000000000000000000000000000000000000000000000
23;1003920.00000000000000000000000000000000000000000000000000
24;1010052.00000000000000000000000000000000000000000000000000
25;1013560.00000000000000000000000000000000000000000000000000
26;1019020.00000000000000000000000000000000000000000000000000
27;1023648.00000000000000000000000000000000000000000000000000
28;1029204.00000000000000000000000000000000000000000000000000
29;1032728.00000000000000000000000000000000000000000000000000
30;1038252.00000000000000000000000000000000000000000000000000
31;1042480.00000000000000000000000000000000000000000000000000
32;1047068.00000000000000000000000000000000000000000000000000
33;1051816.00000000000000000000000000000000000000000000000000
34;1056252.00000000000000000000000000000000000000000000000000
35;1061732.00000000000000000000000000000000000000000000000000
36;1064468.00000000000000000000000000000000000000000000000000
37;1071124.00000000000000000000000000000000000000000000000000
38;1073308.00000000000000000000000000000000000000000000000000
39;1080020.00000000000000000000000000000000000000000000000000
40;1083560.00000000000000000000000000000000000000000000000000
41;1088052.00000000000000000000000000000000000000000000000000
42;1092644.00000000000000000000000000000000000000000000000000
43;1097376.00000000000000000000000000000000000000000000000000
44;1101212.00000000000000000000000000000000000000000000000000
45;1104904.00000000000000000000000000000000000000000000000000
46;1110812.00000000000000000000000000000000000000000000000000
47;1114244.00000000000000000000000000000000000000000000000000
48;1118580.00000000000000000000000000000000000000000000000000
49;1122296.00000000000000000000000000000000000000000000000000
50;1128536.00000000000000000000000000000000000000000000000000
51;1130876.00000000000000000000000000000000000000000000000000
52;1134604.00000000000000000000000000000000000000000000000000
53;1138960.00000000000000000000000000000000000000000000000000
54;1142476.00000000000000000000000000000000000000000000000000
55;1148124.00000000000000000000000000000000000000000000000000
56;1151764.00000000000000000000000000000000000000000000000000
57;1155224.00000000000000000000000000000000000000000000000000
58;1159592.00000000000000000000000000000000000000000000000000
59;1163480.00000000000000000000000000000000000000000000000000
60;1169036.00000000000000000000000000000000000000000000000000
61;1173184.00000000000000000000000000000000000000000000000000
62;1177308.00000000000000000000000000000000000000000000000000
63;1180996.00000000000000000000000000000000000000000000000000
64;1185248.00000000000000000000000000000000000000000000000000
65;1189224.00000000000000000000000000000000000000000000000000
66;1194908.00000000000000000000000000000000000000000000000000
67;1198780.00000000000000000000000000000000000000000000000000
68;1202736.00000000000000000000000000000000000000000000000000
69;1205748.00000000000000000000000000000000000000000000000000
70;1209992.00000000000000000000000000000000000000000000000000
71;1214116.00000000000000000000000000000000000000000000000000
72;1221064.00000000000000000000000000000000000000000000000000
73;1222700.00000000000000000000000000000000000000000000000000
74;1226240.00000000000000000000000000000000000000000000000000
75;1230200.00000000000000000000000000000000000000000000000000
76;1234284.00000000000000000000000000000000000000000000000000
77;1239060.00000000000000000000000000000000000000000000000000
78;1242960.00000000000000000000000000000000000000000000000000
79;1246700.00000000000000000000000000000000000000000000000000
80;1253452.00000000000000000000000000000000000000000000000000
81;1257936.00000000000000000000000000000000000000000000000000
82;1261488.00000000000000000000000000000000000000000000000000
83;1266044.00000000000000000000000000000000000000000000000000
84;1269172.00000000000000000000000000000000000000000000000000
85;1272664.00000000000000000000000000000000000000000000000000
86;1278152.00000000000000000000000000000000000000000000000000
87;1280168.00000000000000000000000000000000000000000000000000
88;1288980.00000000000000000000000000000000000000000000000000
89;1291132.00000000000000000000000000000000000000000000000000
90;1294320.00000000000000000000000000000000000000000000000000
91;1298500.00000000000000000000000000000000000000000000000000
92;1302584.00000000000000000000000000000000000000000000000000
93;1307256.00000000000000000000000000000000000000000000000000
94;1310764.00000000000000000000000000000000000000000000000000
95;1314476.00000000000000000000000000000000000000000000000000
96;1318856.00000000000000000000000000000000000000000000000000
97;1327436.00000000000000000000000000000000000000000000000000
98;1329348.00000000000000000000000000000000000000000000000000
99;1332896.00000000000000000000000000000000000000000000000000
100;1336552.00000000000000000000000000000000000000000000000000
101;1340176.00000000000000000000000000000000000000000000000000
102;1344004.00000000000000000000000000000000000000000000000000
103;1348096.00000000000000000000000000000000000000000000000000
104;1351616.00000000000000000000000000000000000000000000000000
105;1354956.00000000000000000000000000000000000000000000000000
106;1358852.00000000000000000000000000000000000000000000000000
107;1363220.00000000000000000000000000000000000000000000000000
108;1365852.00000000000000000000000000000000000000000000000000
109;1374108.00000000000000000000000000000000000000000000000000
110;1375964.00000000000000000000000000000000000000000000000000
111;1381360.00000000000000000000000000000000000000000000000000
112;1381360.00000000000000000000000000000000000000000000000000
113;1381360.00000000000000000000000000000000000000000000000000
114;1618228.00000000000000000000000000000000000000000000000000
115;1618232.00000000000000000000000000000000000000000000000000
116;1618004.00000000000000000000000000000000000000000000000000
117;1618008.00000000000000000000000000000000000000000000000000
118;1618076.00000000000000000000000000000000000000000000000000
119;1618044.00000000000000000000000000000000000000000000000000
120;1618040.00000000000000000000000000000000000000000000000000
121;1618004.00000000000000000000000000000000000000000000000000
122;1618136.00000000000000000000000000000000000000000000000000
123;1618008.00000000000000000000000000000000000000000000000000
124;1618040.00000000000000000000000000000000000000000000000000
125;1618128.00000000000000000000000000000000000000000000000000
126;1618076.00000000000000000000000000000000000000000000000000
127;1618008.00000000000000000000000000000000000000000000000000
128;1618040.00000000000000000000000000000000000000000000000000
129;1618040.00000000000000000000000000000000000000000000000000
130;1618216.00000000000000000000000000000000000000000000000000
131;1618236.00000000000000000000000000000000000000000000000000
132;1618016.00000000000000000000000000000000000000000000000000
133;1618072.00000000000000000000000000000000000000000000000000
134;1618020.00000000000000000000000000000000000000000000000000
135;1618080.00000000000000000000000000000000000000000000000000
136;1617984.00000000000000000000000000000000000000000000000000
137;1618256.00000000000000000000000000000000000000000000000000
138;1618784.00000000000000000000000000000000000000000000000000
139;1618784.00000000000000000000000000000000000000000000000000
140;1618784.00000000000000000000000000000000000000000000000000
141;1618596.00000000000000000000000000000000000000000000000000
142;1618784.00000000000000000000000000000000000000000000000000
143;1618528.00000000000000000000000000000000000000000000000000
144;1618560.00000000000000000000000000000000000000000000000000
145;1618528.00000000000000000000000000000000000000000000000000
146;1618528.00000000000000000000000000000000000000000000000000
147;1618564.00000000000000000000000000000000000000000000000000
148;1618752.00000000000000000000000000000000000000000000000000
149;1618524.00000000000000000000000000000000000000000000000000
150;1618656.00000000000000000000000000000000000000000000000000
151;1618528.00000000000000000000000000000000000000000000000000
152;1618524.00000000000000000000000000000000000000000000000000
153;1618784.00000000000000000000000000000000000000000000000000
154;1618528.00000000000000000000000000000000000000000000000000
155;1618560.00000000000000000000000000000000000000000000000000
156;1618528.00000000000000000000000000000000000000000000000000
157;1618784.00000000000000000000000000000000000000000000000000
158;1618524.00000000000000000000000000000000000000000000000000
159;1618560.00000000000000000000000000000000000000000000000000
160;1618560.00000000000000000000000000000000000000000000000000
161;1618564.00000000000000000000000000000000000000000000000000
162;1618564.00000000000000000000000000000000000000000000000000
163;1618528.00000000000000000000000000000000000000000000000000
164;1619168.00000000000000000000000000000000000000000000000000
165;1619168.00000000000000000000000000000000000000000000000000
166;1619168.00000000000000000000000000000000000000000000000000
167;1618948.00000000000000000000000000000000000000000000000000
168;1619044.00000000000000000000000000000000000000000000000000
169;1619040.00000000000000000000000000000000000000000000000000
170;1618948.00000000000000000000000000000000000000000000000000
171;1619172.00000000000000000000000000000000000000000000000000
172;1619040.00000000000000000000000000000000000000000000000000
173;1619060.00000000000000000000000000000000000000000000000000
174;1618948.00000000000000000000000000000000000000000000000000
175;1618916.00000000000000000000000000000000000000000000000000
176;1619172.00000000000000000000000000000000000000000000000000
177;1618912.00000000000000000000000000000000000000000000000000
178;1618956.00000000000000000000000000000000000000000000000000
179;1619176.00000000000000000000000000000000000000000000000000
180;1618988.00000000000000000000000000000000000000000000000000
181;1618920.00000000000000000000000000000000000000000000000000
182;1618916.00000000000000000000000000000000000000000000000000
183;1618920.00000000000000000000000000000000000000000000000000
184;1619144.00000000000000000000000000000000000000000000000000
185;1618952.00000000000000000000000000000000000000000000000000
186;1619176.00000000000000000000000000000000000000000000000000
187;1619044.00000000000000000000000000000000000000000000000000
188;1619072.00000000000000000000000000000000000000000000000000
189;1520444.00000000000000000000000000000000000000000000000000
190;1387888.00000000000000000000000000000000000000000000000000
191;1389828.00000000000000000000000000000000000000000000000000
192;1389088.00000000000000000000000000000000000000000000000000
193;1391052.00000000000000000000000000000000000000000000000000
194;1393472.00000000000000000000000000000000000000000000000000
195;1395444.00000000000000000000000000000000000000000000000000
196;1396360.00000000000000000000000000000000000000000000000000
197;1398236.00000000000000000000000000000000000000000000000000
198;1399872.00000000000000000000000000000000000000000000000000
199;1400772.00000000000000000000000000000000000000000000000000
200;1403352.00000000000000000000000000000000000000000000000000
201;1405404.00000000000000000000000000000000000000000000000000
202;1407308.00000000000000000000000000000000000000000000000000
203;1410344.00000000000000000000000000000000000000000000000000
204;1412600.00000000000000000000000000000000000000000000000000
205;1414212.00000000000000000000000000000000000000000000000000
206;1416004.00000000000000000000000000000000000000000000000000
207;1418184.00000000000000000000000000000000000000000000000000
208;1420404.00000000000000000000000000000000000000000000000000
209;1426120.00000000000000000000000000000000000000000000000000
210;1427840.00000000000000000000000000000000000000000000000000
211;1429844.00000000000000000000000000000000000000000000000000
212;1432088.00000000000000000000000000000000000000000000000000
213;1434000.00000000000000000000000000000000000000000000000000
214;1435584.00000000000000000000000000000000000000000000000000
215;1439212.00000000000000000000000000000000000000000000000000
216;1441324.00000000000000000000000000000000000000000000000000
217;1443144.00000000000000000000000000000000000000000000000000
218;1447288.00000000000000000000000000000000000000000000000000
219;1447340.00000000000000000000000000000000000000000000000000
220;1448468.00000000000000000000000000000000000000000000000000
221;1449304.00000000000000000000000000000000000000000000000000
222;1449912.00000000000000000000000000000000000000000000000000
223;1451028.00000000000000000000000000000000000000000000000000
224;1451620.00000000000000000000000000000000000000000000000000
225;1452280.00000000000000000000000000000000000000000000000000
226;1461992.00000000000000000000000000000000000000000000000000
227;1462888.00000000000000000000000000000000000000000000000000
228;1464304.00000000000000000000000000000000000000000000000000
229;1465136.00000000000000000000000000000000000000000000000000
230;1469912.00000000000000000000000000000000000000000000000000
231;1470316.00000000000000000000000000000000000000000000000000
232;1470992.00000000000000000000000000000000000000000000000000
233;1471948.00000000000000000000000000000000000000000000000000
234;1473624.00000000000000000000000000000000000000000000000000
235;1475296.00000000000000000000000000000000000000000000000000
236;1481836.00000000000000000000000000000000000000000000000000
237;1481984.00000000000000000000000000000000000000000000000000
238;1482444.00000000000000000000000000000000000000000000000000
239;1484124.00000000000000000000000000000000000000000000000000
240;1485888.00000000000000000000000000000000000000000000000000
241;1496248.00000000000000000000000000000000000000000000000000
242;1496824.00000000000000000000000000000000000000000000000000
243;1496972.00000000000000000000000000000000000000000000000000
244;1496808.00000000000000000000000000000000000000000000000000
245;1497488.00000000000000000000000000000000000000000000000000
246;1500176.00000000000000000000000000000000000000000000000000
247;1502388.00000000000000000000000000000000000000000000000000
248;1512880.00000000000000000000000000000000000000000000000000
249;1512712.00000000000000000000000000000000000000000000000000
250;1513060.00000000000000000000000000000000000000000000000000
251;1514360.00000000000000000000000000000000000000000000000000
252;1516092.00000000000000000000000000000000000000000000000000
253;1518548.00000000000000000000000000000000000000000000000000
254;1520308.00000000000000000000000000000000000000000000000000
255;1532096.00000000000000000000000000000000000000000000000000
256;1532660.00000000000000000000000000000000000000000000000000
257;1532704.00000000000000000000000000000000000000000000000000
258;1532860.00000000000000000000000000000000000000000000000000
259;1533784.00000000000000000000000000000000000000000000000000
