Second;RAM_KB
0;6920.00000000000000000000000000000000000000000000000000
1;322984.00000000000000000000000000000000000000000000000000
2;379212.00000000000000000000000000000000000000000000000000
3;696836.00000000000000000000000000000000000000000000000000
4;748380.00000000000000000000000000000000000000000000000000
5;804240.00000000000000000000000000000000000000000000000000
6;899712.00000000000000000000000000000000000000000000000000
7;932724.00000000000000000000000000000000000000000000000000
8;939768.00000000000000000000000000000000000000000000000000
9;981056.00000000000000000000000000000000000000000000000000
10;988380.00000000000000000000000000000000000000000000000000
11;993664.00000000000000000000000000000000000000000000000000
12;998728.00000000000000000000000000000000000000000000000000
13;1004188.00000000000000000000000000000000000000000000000000
14;1009568.00000000000000000000000000000000000000000000000000
15;1014620.00000000000000000000000000000000000000000000000000
16;1019580.00000000000000000000000000000000000000000000000000
17;1024616.00000000000000000000000000000000000000000000000000
18;1029816.00000000000000000000000000000000000000000000000000
19;1035064.00000000000000000000000000000000000000000000000000
20;1039864.00000000000000000000000000000000000000000000000000
21;1044724.00000000000000000000000000000000000000000000000000
22;1049848.00000000000000000000000000000000000000000000000000
23;1055552.00000000000000000000000000000000000000000000000000
24;1062896.00000000000000000000000000000000000000000000000000
25;1065664.00000000000000000000000000000000000000000000000000
26;1069516.00000000000000000000000000000000000000000000000000
27;1074972.00000000000000000000000000000000000000000000000000
28;1079592.00000000000000000000000000000000000000000000000000
29;1085504.00000000000000000000000000000000000000000000000000
30;1092184.00000000000000000000000000000000000000000000000000
31;1096516.00000000000000000000000000000000000000000000000000
32;1103308.00000000000000000000000000000000000000000000000000
33;1106936.00000000000000000000000000000000000000000000000000
34;1114700.00000000000000000000000000000000000000000000000000
35;1118688.00000000000000000000000000000000000000000000000000
36;1123064.00000000000000000000000000000000000000000000000000
37;1126620.00000000000000000000000000000000000000000000000000
38;1133852.00000000000000000000000000000000000000000000000000
39;1137020.00000000000000000000000000000000000000000000000000
40;1142036.00000000000000000000000000000000000000000000000000
41;1145220.00000000000000000000000000000000000000000000000000
42;1151252.00000000000000000000000000000000000000000000000000
43;1156488.00000000000000000000000000000000000000000000000000
44;1162416.00000000000000000000000000000000000000000000000000
45;1167100.00000000000000000000000000000000000000000000000000
46;1171944.00000000000000000000000000000000000000000000000000
47;1178900.00000000000000000000000000000000000000000000000000
48;1183184.00000000000000000000000000000000000000000000000000
49;1183184.00000000000000000000000000000000000000000000000000
