Second;RAM_KB
0;13052.00000000000000000000000000000000000000000000000000
1;324524.00000000000000000000000000000000000000000000000000
2;376364.00000000000000000000000000000000000000000000000000
3;695880.00000000000000000000000000000000000000000000000000
4;748904.00000000000000000000000000000000000000000000000000
5;804596.00000000000000000000000000000000000000000000000000
6;898072.00000000000000000000000000000000000000000000000000
7;929196.00000000000000000000000000000000000000000000000000
8;959260.00000000000000000000000000000000000000000000000000
9;977444.00000000000000000000000000000000000000000000000000
10;983988.00000000000000000000000000000000000000000000000000
11;988328.00000000000000000000000000000000000000000000000000
12;995036.00000000000000000000000000000000000000000000000000
13;1000556.00000000000000000000000000000000000000000000000000
14;1004840.00000000000000000000000000000000000000000000000000
15;1009668.00000000000000000000000000000000000000000000000000
16;1013352.00000000000000000000000000000000000000000000000000
17;1019312.00000000000000000000000000000000000000000000000000
18;1022864.00000000000000000000000000000000000000000000000000
19;1028152.00000000000000000000000000000000000000000000000000
20;1032040.00000000000000000000000000000000000000000000000000
21;1037984.00000000000000000000000000000000000000000000000000
22;1041272.00000000000000000000000000000000000000000000000000
23;1046576.00000000000000000000000000000000000000000000000000
24;1050644.00000000000000000000000000000000000000000000000000
25;1056972.00000000000000000000000000000000000000000000000000
26;1060340.00000000000000000000000000000000000000000000000000
27;1063608.00000000000000000000000000000000000000000000000000
28;1069388.00000000000000000000000000000000000000000000000000
29;1072512.00000000000000000000000000000000000000000000000000
30;1077932.00000000000000000000000000000000000000000000000000
31;1081320.00000000000000000000000000000000000000000000000000
32;1086116.00000000000000000000000000000000000000000000000000
33;1090652.00000000000000000000000000000000000000000000000000
34;1095232.00000000000000000000000000000000000000000000000000
35;1098768.00000000000000000000000000000000000000000000000000
36;1101992.00000000000000000000000000000000000000000000000000
37;1108144.00000000000000000000000000000000000000000000000000
38;1110776.00000000000000000000000000000000000000000000000000
39;1115792.00000000000000000000000000000000000000000000000000
40;1119372.00000000000000000000000000000000000000000000000000
41;1125548.00000000000000000000000000000000000000000000000000
42;1127716.00000000000000000000000000000000000000000000000000
43;1364144.00000000000000000000000000000000000000000000000000
44;1364180.00000000000000000000000000000000000000000000000000
45;1364176.00000000000000000000000000000000000000000000000000
46;1364108.00000000000000000000000000000000000000000000000000
47;1364144.00000000000000000000000000000000000000000000000000
48;1364112.00000000000000000000000000000000000000000000000000
49;1364108.00000000000000000000000000000000000000000000000000
50;1364148.00000000000000000000000000000000000000000000000000
51;1364448.00000000000000000000000000000000000000000000000000
52;1364448.00000000000000000000000000000000000000000000000000
53;1364240.00000000000000000000000000000000000000000000000000
54;1364276.00000000000000000000000000000000000000000000000000
55;1364236.00000000000000000000000000000000000000000000000000
56;1364280.00000000000000000000000000000000000000000000000000
57;1364500.00000000000000000000000000000000000000000000000000
58;1364252.00000000000000000000000000000000000000000000000000
59;1364184.00000000000000000000000000000000000000000000000000
60;1364160.00000000000000000000000000000000000000000000000000
61;1364472.00000000000000000000000000000000000000000000000000
62;1364228.00000000000000000000000000000000000000000000000000
63;1364324.00000000000000000000000000000000000000000000000000
64;1364388.00000000000000000000000000000000000000000000000000
65;1364228.00000000000000000000000000000000000000000000000000
66;1364196.00000000000000000000000000000000000000000000000000
67;1364260.00000000000000000000000000000000000000000000000000
68;1364420.00000000000000000000000000000000000000000000000000
69;1364196.00000000000000000000000000000000000000000000000000
70;1289328.00000000000000000000000000000000000000000000000000
71;1290784.00000000000000000000000000000000000000000000000000
72;1292384.00000000000000000000000000000000000000000000000000
73;1294052.00000000000000000000000000000000000000000000000000
74;1295896.00000000000000000000000000000000000000000000000000
75;1298192.00000000000000000000000000000000000000000000000000
76;1300372.00000000000000000000000000000000000000000000000000
77;1303100.00000000000000000000000000000000000000000000000000
78;1304304.00000000000000000000000000000000000000000000000000
79;1306548.00000000000000000000000000000000000000000000000000
80;1308660.00000000000000000000000000000000000000000000000000
81;1309548.00000000000000000000000000000000000000000000000000
82;1312044.00000000000000000000000000000000000000000000000000
83;1314176.00000000000000000000000000000000000000000000000000
84;1316516.00000000000000000000000000000000000000000000000000
85;1318716.00000000000000000000000000000000000000000000000000
86;1320720.00000000000000000000000000000000000000000000000000
87;1323496.00000000000000000000000000000000000000000000000000
88;1325088.00000000000000000000000000000000000000000000000000
89;1328672.00000000000000000000000000000000000000000000000000
90;1329852.00000000000000000000000000000000000000000000000000
91;1333872.00000000000000000000000000000000000000000000000000
92;1335312.00000000000000000000000000000000000000000000000000
93;1337408.00000000000000000000000000000000000000000000000000
94;1339168.00000000000000000000000000000000000000000000000000
95;1342792.00000000000000000000000000000000000000000000000000
96;1344708.00000000000000000000000000000000000000000000000000
