Second;RAM_KB
0;6916.00000000000000000000000000000000000000000000000000
1;318556.00000000000000000000000000000000000000000000000000
2;375860.00000000000000000000000000000000000000000000000000
3;688528.00000000000000000000000000000000000000000000000000
4;749376.00000000000000000000000000000000000000000000000000
5;805236.00000000000000000000000000000000000000000000000000
6;894832.00000000000000000000000000000000000000000000000000
7;931700.00000000000000000000000000000000000000000000000000
8;972308.00000000000000000000000000000000000000000000000000
9;978388.00000000000000000000000000000000000000000000000000
10;985548.00000000000000000000000000000000000000000000000000
11;987832.00000000000000000000000000000000000000000000000000
12;992120.00000000000000000000000000000000000000000000000000
13;997024.00000000000000000000000000000000000000000000000000
14;1002616.00000000000000000000000000000000000000000000000000
15;1007668.00000000000000000000000000000000000000000000000000
16;1013432.00000000000000000000000000000000000000000000000000
17;1018768.00000000000000000000000000000000000000000000000000
18;1026224.00000000000000000000000000000000000000000000000000
19;1028980.00000000000000000000000000000000000000000000000000
20;1036032.00000000000000000000000000000000000000000000000000
21;1039548.00000000000000000000000000000000000000000000000000
22;1043356.00000000000000000000000000000000000000000000000000
23;1049264.00000000000000000000000000000000000000000000000000
24;1055484.00000000000000000000000000000000000000000000000000
25;1059544.00000000000000000000000000000000000000000000000000
26;1066836.00000000000000000000000000000000000000000000000000
27;1069540.00000000000000000000000000000000000000000000000000
28;1076976.00000000000000000000000000000000000000000000000000
29;1079260.00000000000000000000000000000000000000000000000000
30;1086860.00000000000000000000000000000000000000000000000000
31;1090328.00000000000000000000000000000000000000000000000000
32;1096088.00000000000000000000000000000000000000000000000000
33;1100476.00000000000000000000000000000000000000000000000000
34;1106676.00000000000000000000000000000000000000000000000000
35;1112080.00000000000000000000000000000000000000000000000000
36;1120112.00000000000000000000000000000000000000000000000000
37;1123272.00000000000000000000000000000000000000000000000000
38;1129688.00000000000000000000000000000000000000000000000000
39;1135260.00000000000000000000000000000000000000000000000000
40;1140812.00000000000000000000000000000000000000000000000000
41;1143492.00000000000000000000000000000000000000000000000000
42;1148512.00000000000000000000000000000000000000000000000000
43;1153996.00000000000000000000000000000000000000000000000000
44;1161388.00000000000000000000000000000000000000000000000000
45;1165304.00000000000000000000000000000000000000000000000000
46;1169976.00000000000000000000000000000000000000000000000000
47;1176104.00000000000000000000000000000000000000000000000000
48;1178612.00000000000000000000000000000000000000000000000000
49;1402344.00000000000000000000000000000000000000000000000000
50;1403372.00000000000000000000000000000000000000000000000000
51;1403660.00000000000000000000000000000000000000000000000000
52;1403276.00000000000000000000000000000000000000000000000000
53;1403660.00000000000000000000000000000000000000000000000000
54;1403340.00000000000000000000000000000000000000000000000000
55;1403596.00000000000000000000000000000000000000000000000000
56;1403212.00000000000000000000000000000000000000000000000000
57;1403436.00000000000000000000000000000000000000000000000000
58;1403660.00000000000000000000000000000000000000000000000000
59;1403432.00000000000000000000000000000000000000000000000000
60;1403432.00000000000000000000000000000000000000000000000000
61;1403704.00000000000000000000000000000000000000000000000000
62;1403384.00000000000000000000000000000000000000000000000000
63;1403584.00000000000000000000000000000000000000000000000000
64;1403148.00000000000000000000000000000000000000000000000000
65;1403652.00000000000000000000000000000000000000000000000000
66;1403224.00000000000000000000000000000000000000000000000000
67;1403560.00000000000000000000000000000000000000000000000000
68;1403240.00000000000000000000000000000000000000000000000000
69;1403560.00000000000000000000000000000000000000000000000000
70;1403624.00000000000000000000000000000000000000000000000000
71;1403144.00000000000000000000000000000000000000000000000000
72;1403336.00000000000000000000000000000000000000000000000000
73;1403144.00000000000000000000000000000000000000000000000000
74;1403360.00000000000000000000000000000000000000000000000000
75;1403360.00000000000000000000000000000000000000000000000000
76;1403468.00000000000000000000000000000000000000000000000000
77;1403112.00000000000000000000000000000000000000000000000000
78;1403336.00000000000000000000000000000000000000000000000000
79;1403624.00000000000000000000000000000000000000000000000000
80;1403144.00000000000000000000000000000000000000000000000000
81;1403304.00000000000000000000000000000000000000000000000000
82;1403560.00000000000000000000000000000000000000000000000000
83;1403240.00000000000000000000000000000000000000000000000000
84;1403624.00000000000000000000000000000000000000000000000000
85;1403304.00000000000000000000000000000000000000000000000000
86;1403624.00000000000000000000000000000000000000000000000000
87;1301548.00000000000000000000000000000000000000000000000000
88;1303664.00000000000000000000000000000000000000000000000000
89;1305248.00000000000000000000000000000000000000000000000000
90;1306776.00000000000000000000000000000000000000000000000000
91;1309280.00000000000000000000000000000000000000000000000000
92;1312068.00000000000000000000000000000000000000000000000000
93;1315120.00000000000000000000000000000000000000000000000000
94;1318280.00000000000000000000000000000000000000000000000000
95;1321268.00000000000000000000000000000000000000000000000000
96;1323512.00000000000000000000000000000000000000000000000000
97;1325760.00000000000000000000000000000000000000000000000000
98;1327864.00000000000000000000000000000000000000000000000000
99;1330056.00000000000000000000000000000000000000000000000000
100;1331500.00000000000000000000000000000000000000000000000000
