Second;RAM_KB
0;6220.00000000000000000000000000000000000000000000000000
1;320732.00000000000000000000000000000000000000000000000000
2;375300.00000000000000000000000000000000000000000000000000
3;693784.00000000000000000000000000000000000000000000000000
4;748040.00000000000000000000000000000000000000000000000000
5;803852.00000000000000000000000000000000000000000000000000
6;896904.00000000000000000000000000000000000000000000000000
7;931544.00000000000000000000000000000000000000000000000000
8;938784.00000000000000000000000000000000000000000000000000
9;980204.00000000000000000000000000000000000000000000000000
10;985352.00000000000000000000000000000000000000000000000000
11;989260.00000000000000000000000000000000000000000000000000
12;994876.00000000000000000000000000000000000000000000000000
13;1000248.00000000000000000000000000000000000000000000000000
14;1011520.00000000000000000000000000000000000000000000000000
15;1015616.00000000000000000000000000000000000000000000000000
16;1022448.00000000000000000000000000000000000000000000000000
17;1026172.00000000000000000000000000000000000000000000000000
18;1032044.00000000000000000000000000000000000000000000000000
19;1035916.00000000000000000000000000000000000000000000000000
20;1041780.00000000000000000000000000000000000000000000000000
21;1045756.00000000000000000000000000000000000000000000000000
22;1051300.00000000000000000000000000000000000000000000000000
23;1057908.00000000000000000000000000000000000000000000000000
24;1061496.00000000000000000000000000000000000000000000000000
25;1068460.00000000000000000000000000000000000000000000000000
26;1072616.00000000000000000000000000000000000000000000000000
27;1077372.00000000000000000000000000000000000000000000000000
28;1082692.00000000000000000000000000000000000000000000000000
29;1086192.00000000000000000000000000000000000000000000000000
30;1091968.00000000000000000000000000000000000000000000000000
31;1095916.00000000000000000000000000000000000000000000000000
32;1100292.00000000000000000000000000000000000000000000000000
33;1106460.00000000000000000000000000000000000000000000000000
34;1111220.00000000000000000000000000000000000000000000000000
35;1116200.00000000000000000000000000000000000000000000000000
36;1122640.00000000000000000000000000000000000000000000000000
37;1127184.00000000000000000000000000000000000000000000000000
38;1131420.00000000000000000000000000000000000000000000000000
39;1140008.00000000000000000000000000000000000000000000000000
40;1143704.00000000000000000000000000000000000000000000000000
41;1148648.00000000000000000000000000000000000000000000000000
42;1152328.00000000000000000000000000000000000000000000000000
43;1160856.00000000000000000000000000000000000000000000000000
44;1163632.00000000000000000000000000000000000000000000000000
45;1168092.00000000000000000000000000000000000000000000000000
46;1172652.00000000000000000000000000000000000000000000000000
47;1179424.00000000000000000000000000000000000000000000000000
48;1179436.00000000000000000000000000000000000000000000000000
49;1409728.00000000000000000000000000000000000000000000000000
50;1409684.00000000000000000000000000000000000000000000000000
51;1409800.00000000000000000000000000000000000000000000000000
52;1409624.00000000000000000000000000000000000000000000000000
53;1409688.00000000000000000000000000000000000000000000000000
54;1409800.00000000000000000000000000000000000000000000000000
55;1409744.00000000000000000000000000000000000000000000000000
56;1409804.00000000000000000000000000000000000000000000000000
57;1409180.00000000000000000000000000000000000000000000000000
58;1409628.00000000000000000000000000000000000000000000000000
59;1409800.00000000000000000000000000000000000000000000000000
60;1409560.00000000000000000000000000000000000000000000000000
61;1410100.00000000000000000000000000000000000000000000000000
62;1410100.00000000000000000000000000000000000000000000000000
63;1409924.00000000000000000000000000000000000000000000000000
64;1409600.00000000000000000000000000000000000000000000000000
65;1409988.00000000000000000000000000000000000000000000000000
66;1409884.00000000000000000000000000000000000000000000000000
67;1409452.00000000000000000000000000000000000000000000000000
68;1409896.00000000000000000000000000000000000000000000000000
69;1409900.00000000000000000000000000000000000000000000000000
70;1409900.00000000000000000000000000000000000000000000000000
