strategy;game_play;max_steps;batch_size;num_layers;hidden_units;buffer_units;total_duration
poca;soccer;570000;2048;;;20480;6776.1122415065765
poca;soccer;1480000;2048;;;20480;17995.39518928528
poca;soccer;1460000;2048;;;20480;17995.3785841465
poca;soccer;1370000;2048;;;20480;17995.223233938217
poca;soccer;1440000;2048;;;20480;17995.251380443573
poca;soccer;1480000;2048;;;20480;17995.107580900192
poca;soccer;1390000;2048;;;20480;17995.246988534927
poca;soccer;1430000;2048;;;20480;17995.274042367935
poca;soccer;1300000;2048;;;20480;17995.211889505386
poca;soccer;1350000;2048;;;20480;17995.1273624897
poca;soccer;1430000;2048;;;20480;17995.37286758423
poca;soccer;1460000;2048;;;20480;17995.204900979996
poca;soccer;1410000;2048;;;20480;17995.079434633255
poca;soccer;1400000;2048;;;20480;17995.10270524025
poca;soccer;1440000;2048;;;20480;17995.223079681396
poca;soccer;1470000;2048;;;20480;17995.151477098465
poca;soccer;1530000;2048;;;20480;17995.40895986557
poca;soccer;1460000;2048;;;20480;17995.137134552002
poca;soccer;1440000;4096;;;40960;17995.25778579712
poca;soccer;1440000;4096;;;40960;17995.14132499695
poca;soccer;1460000;4096;;;40960;17995.330678462982
poca;soccer;1450000;4096;;;40960;17995.102283477783
poca;soccer;1430000;4096;;;40960;17995.288905143738
poca;soccer;1460000;4096;;;40960;17995.039749383926
poca;soccer;1390000;4096;;;40960;17995.1874063015
poca;soccer;1440000;4096;;;40960;17995.217224359512
poca;soccer;1440000;4096;;;40960;17995.055317401886
poca;soccer;1510000;2048;;;20480;17995.34566259384
poca;soccer;1460000;4096;;;40960;17995.148315906525
poca;soccer;1450000;4096;;;40960;17995.323965072632
poca;soccer;620000;4096;;;40960;7716.180715084076
poca;soccer;1410000;2048;;;20480;17995.324975967407
poca;soccer;1390000;2048;;;20480;17995.289088249207
poca;soccer;1460000;2048;;;20480;17995.29445552826
poca;soccer;1410000;2048;;;20480;17995.244659662247
poca;soccer;730000;2048;;;20480;8963.350725412369
poca;soccer;1490000;2048;;;20480;17995.35598397255
poca;soccer;490000;2048;;;20480;6123.907691001892
poca;soccer;500000;2048;;;20480;6068.017175197601
poca;soccer;1520000;2048;;;20480;17995.343849420547
poca;soccer;1480000;2048;;;20480;17995.343133449554
poca;soccer;10000;2048;;;20480;130.46212792396545
poca;soccer;10000;2048;;;20480;130.56464529037476
poca;soccer;1510000;2048;;;20480;17995.28589963913
poca;soccer;10000;9580;;;10852;58.17578315734863
poca;soccer;5000000;1024;;;10240;7531.147
poca;soccer;5000000;2048;;;20480;9375.254
poca;soccer;5000000;2048;;;20480;7523.028
poca;soccer;5000000;4096;;;40960;13094.293
