Second;RAM_KB
0;6176.00000000000000000000000000000000000000000000000000
1;314796.00000000000000000000000000000000000000000000000000
2;375020.00000000000000000000000000000000000000000000000000
3;692600.00000000000000000000000000000000000000000000000000
4;748808.00000000000000000000000000000000000000000000000000
5;804708.00000000000000000000000000000000000000000000000000
6;895928.00000000000000000000000000000000000000000000000000
7;932296.00000000000000000000000000000000000000000000000000
8;937980.00000000000000000000000000000000000000000000000000
9;977576.00000000000000000000000000000000000000000000000000
10;982296.00000000000000000000000000000000000000000000000000
11;988068.00000000000000000000000000000000000000000000000000
12;998440.00000000000000000000000000000000000000000000000000
13;1004260.00000000000000000000000000000000000000000000000000
14;1009768.00000000000000000000000000000000000000000000000000
15;1015504.00000000000000000000000000000000000000000000000000
16;1022720.00000000000000000000000000000000000000000000000000
17;1026624.00000000000000000000000000000000000000000000000000
18;1032764.00000000000000000000000000000000000000000000000000
19;1036212.00000000000000000000000000000000000000000000000000
20;1042508.00000000000000000000000000000000000000000000000000
21;1047356.00000000000000000000000000000000000000000000000000
22;1052912.00000000000000000000000000000000000000000000000000
23;1058636.00000000000000000000000000000000000000000000000000
24;1065892.00000000000000000000000000000000000000000000000000
25;1068396.00000000000000000000000000000000000000000000000000
26;1074896.00000000000000000000000000000000000000000000000000
27;1080872.00000000000000000000000000000000000000000000000000
28;1084552.00000000000000000000000000000000000000000000000000
29;1087592.00000000000000000000000000000000000000000000000000
30;1094896.00000000000000000000000000000000000000000000000000
31;1099748.00000000000000000000000000000000000000000000000000
32;1104624.00000000000000000000000000000000000000000000000000
33;1110436.00000000000000000000000000000000000000000000000000
34;1115000.00000000000000000000000000000000000000000000000000
35;1120276.00000000000000000000000000000000000000000000000000
36;1127980.00000000000000000000000000000000000000000000000000
37;1130376.00000000000000000000000000000000000000000000000000
38;1134216.00000000000000000000000000000000000000000000000000
39;1137748.00000000000000000000000000000000000000000000000000
40;1145900.00000000000000000000000000000000000000000000000000
41;1149692.00000000000000000000000000000000000000000000000000
42;1155300.00000000000000000000000000000000000000000000000000
43;1160292.00000000000000000000000000000000000000000000000000
44;1167464.00000000000000000000000000000000000000000000000000
45;1171616.00000000000000000000000000000000000000000000000000
46;1176124.00000000000000000000000000000000000000000000000000
47;1179948.00000000000000000000000000000000000000000000000000
48;1185860.00000000000000000000000000000000000000000000000000
49;1185860.00000000000000000000000000000000000000000000000000
50;1403120.00000000000000000000000000000000000000000000000000
51;1403120.00000000000000000000000000000000000000000000000000
52;1403120.00000000000000000000000000000000000000000000000000
53;1403060.00000000000000000000000000000000000000000000000000
54;1403432.00000000000000000000000000000000000000000000000000
55;1403372.00000000000000000000000000000000000000000000000000
56;1403432.00000000000000000000000000000000000000000000000000
57;1403372.00000000000000000000000000000000000000000000000000
58;1403188.00000000000000000000000000000000000000000000000000
59;1403564.00000000000000000000000000000000000000000000000000
60;1403368.00000000000000000000000000000000000000000000000000
61;1403304.00000000000000000000000000000000000000000000000000
62;1403304.00000000000000000000000000000000000000000000000000
63;1403188.00000000000000000000000000000000000000000000000000
