Second;RAM_KB
0;8960.00000000000000000000000000000000000000000000000000
1;324244.00000000000000000000000000000000000000000000000000
2;385404.00000000000000000000000000000000000000000000000000
3;699932.00000000000000000000000000000000000000000000000000
4;747984.00000000000000000000000000000000000000000000000000
5;803816.00000000000000000000000000000000000000000000000000
6;905520.00000000000000000000000000000000000000000000000000
7;934616.00000000000000000000000000000000000000000000000000
8;973384.00000000000000000000000000000000000000000000000000
9;982000.00000000000000000000000000000000000000000000000000
10;988372.00000000000000000000000000000000000000000000000000
11;992872.00000000000000000000000000000000000000000000000000
12;999324.00000000000000000000000000000000000000000000000000
13;1006496.00000000000000000000000000000000000000000000000000
14;1012780.00000000000000000000000000000000000000000000000000
15;1019140.00000000000000000000000000000000000000000000000000
16;1024720.00000000000000000000000000000000000000000000000000
17;1029416.00000000000000000000000000000000000000000000000000
18;1036452.00000000000000000000000000000000000000000000000000
19;1040116.00000000000000000000000000000000000000000000000000
20;1046884.00000000000000000000000000000000000000000000000000
21;1050556.00000000000000000000000000000000000000000000000000
22;1056472.00000000000000000000000000000000000000000000000000
23;1060140.00000000000000000000000000000000000000000000000000
24;1065512.00000000000000000000000000000000000000000000000000
25;1069656.00000000000000000000000000000000000000000000000000
26;1075944.00000000000000000000000000000000000000000000000000
27;1079760.00000000000000000000000000000000000000000000000000
28;1085148.00000000000000000000000000000000000000000000000000
29;1091500.00000000000000000000000000000000000000000000000000
30;1095600.00000000000000000000000000000000000000000000000000
31;1103096.00000000000000000000000000000000000000000000000000
32;1106520.00000000000000000000000000000000000000000000000000
33;1111692.00000000000000000000000000000000000000000000000000
34;1119576.00000000000000000000000000000000000000000000000000
35;1124040.00000000000000000000000000000000000000000000000000
36;1128232.00000000000000000000000000000000000000000000000000
37;1134828.00000000000000000000000000000000000000000000000000
38;1139108.00000000000000000000000000000000000000000000000000
39;1143728.00000000000000000000000000000000000000000000000000
40;1151192.00000000000000000000000000000000000000000000000000
41;1154308.00000000000000000000000000000000000000000000000000
42;1161484.00000000000000000000000000000000000000000000000000
43;1166776.00000000000000000000000000000000000000000000000000
44;1171428.00000000000000000000000000000000000000000000000000
45;1176356.00000000000000000000000000000000000000000000000000
46;1184168.00000000000000000000000000000000000000000000000000
47;1184168.00000000000000000000000000000000000000000000000000
48;1390700.00000000000000000000000000000000000000000000000000
49;1404832.00000000000000000000000000000000000000000000000000
50;1404884.00000000000000000000000000000000000000000000000000
51;1405120.00000000000000000000000000000000000000000000000000
52;1404912.00000000000000000000000000000000000000000000000000
53;1404848.00000000000000000000000000000000000000000000000000
54;1405120.00000000000000000000000000000000000000000000000000
55;1404912.00000000000000000000000000000000000000000000000000
56;1404848.00000000000000000000000000000000000000000000000000
57;1404988.00000000000000000000000000000000000000000000000000
58;1404960.00000000000000000000000000000000000000000000000000
