step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,policy_entropy,losses_policy_loss,losses_value_loss
580000,0,-0.186,,1351.394,1570.624729,2027.964844,0.1922503726,100.3,1043.845689,1352.375,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.236545086,,
600000,0,-0.227,,1437.529,1570.142251,2027.964844,0.1807988788,100.3,1038.322968,1352.375,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.23702693,0.01133433636,0.002050296869
620000,0,-0.005,,1473.658,1562.160159,2027.964844,0.1763499658,100.3,1038.270036,1352.375,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.239597797,,
640000,0,-0.067,,1538.663,1555.797859,2027.964844,0.1688481675,100.3,1043.686529,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.242358208,0.01119668875,0.001560558216
660000,0,-0.19,,1563.051,1553.95278,2027.964844,0.1662371134,100.3,1045.930362,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.252501726,,
680000,0,-0.029,,1628.602,1552.195614,2027.964844,0.159554731,100.3,1051.798409,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.227968931,0.0080511095,0.001017989358
700000,0,0.083,,1648.77,1550.808579,2027.964844,0.1576053757,100.3,1052.518028,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.219450951,,
720000,0,0,,1717.205,1549.665426,2027.964844,0.1514084507,100.3,1052.722691,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.221590757,0.01253529359,0.0007170321187
740000,0,-0.089,,1736.909,1548.339085,2027.964844,0.1496519722,100.3,1052.346884,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.221699715,,
760000,0,-0.024,,1796.813,1548.146301,2027.964844,0.1446999439,100.3,1047.060806,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.232241631,0.01572201587,0.002329772338
780000,0,-0.091,,1818.505,1547.388863,2027.964844,0.1429362881,100.3,1045.882386,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.234268904,,
800000,0,0,,1878.588,1547.764596,2027.964844,0.1384120172,100.3,1043.377682,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.234052181,0.01034486294,0.0003766554873
820000,0,0.047,,1897.986,1547.047041,2027.964844,0.1369426752,100.3,1042.540506,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.233178139,,
840000,0,0,,1963.283,1547.695335,2027.964844,0.1324435318,100.3,1035.590373,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.221479177,0.01438513398,0.0001080828733
860000,0,0.042,,1986.3,1547.547071,2027.964844,0.1308980213,100.3,1033.541599,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.22730422,,
880000,0,-0.01,,2050.999,1548.11103,2027.964844,0.1267813268,100.3,1031.138953,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.23644948,0.01097608451,0.0007884781226
900000,0,0,,2071.117,1547.130159,2027.964844,0.1255474453,100.3,1031.06768,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.22238493,,
920000,0,-0.069,,2100.952,1545.971549,2027.964844,0.1237410072,100.3,1031.728659,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.201605558,,
940000,0,-0.151,,2162.925,1546.010115,2027.964844,0.1202236719,100.3,1033.166802,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.212281227,0.01205965877,0.001176282065
960000,0,-0.25,,2187.526,1545.30731,2027.964844,0.1188940092,100.3,1033.196236,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.213727474,,
980000,0,0.012,,2249.541,1545.397414,2027.964844,0.1155913978,100.3,1035.005945,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.207033873,0.009237356484,0.002597712446
1000000,0,-0.235,,2270.741,1544.808315,2027.964844,0.1145139814,100.3,1035.677598,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.212810278,,
1020000,0,-0.121,,2333.845,1545.343605,2027.964844,0.1114470842,100.3,1036.757116,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.217753887,0.01252072677,0.002041582251
1040000,0,0.092,,2358.548,1544.87419,2027.964844,0.1102564103,100.3,1036.703788,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.224349022,,
1060000,0,-0.082,,2420.168,1545.324155,2027.964844,0.107455227,100.3,1037.830957,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.2151227,0.01186452899,0.002479374642
1080000,0,-0.275,,2441.164,1544.755879,2027.964844,0.1065235343,100.3,1038.617112,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.213346481,,
1100000,0,0.239,,2515.511,1545.086687,2027.964844,0.1034068136,100.3,1038.064214,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.218542814,0.009396563284,0.005519135389
1120000,0,0.226,,2540.171,1544.556284,2027.964844,0.1023809524,100.3,1036.143846,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.209095001,,
1140000,0,-0.312,,2613.542,1544.474123,2027.964844,0.09953703704,100.3,1032.289608,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.211188316,0.009076784365,0.004474711139
1160000,0,-0.169,,2635.008,1543.753431,2027.964844,0.0986993114,100.3,1031.402371,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.21085453,,
1180000,0,-0.323,,2699.369,1543.914251,2027.964844,0.0963765409,100.3,1030.05984,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.228163719,0.01289077383,0.007314877119
1200000,0,-0.099,,2724.4,1543.306631,2027.964844,0.09548482605,100.3,1029.694567,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.235810757,,
1220000,0,-0.139,,2800.61,1543.335173,2027.964844,0.09287257019,100.3,1030.070902,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.217187405,0.01092955191,0.003190449672
1240000,0,0.029,,2826.723,1542.538791,2027.964844,0.09201141227,100.3,1030.472582,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.215801477,,
1260000,0,0.026,,2899.07,1543.015721,2027.964844,0.08973913043,100.3,1032.120819,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.217351913,0.005937892944,0.004322649445
1280000,0,0.014,,2923.762,1542.583093,2027.964844,0.08896551724,100.3,1032.305523,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.212549448,,
1300000,0,0.019,,3010.054,1542.840068,2027.964844,0.0864321608,100.3,1030.271176,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.204169512,0.00999483373,0.003023846075
1320000,0,0.143,,3049.567,1541.980275,2027.964844,0.0852892562,100.3,1030.172978,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.199114561,,
1340000,0,0.098,,3165.484,1542.372996,2027.964844,0.08219178082,100.3,1031.233384,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.196201563,0.0119092362,0.004231379367
1360000,0,-0.087,,3187.14,1542.139875,2027.964844,0.08161974059,100.3,1031.585614,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.182742357,,
1380000,0,0.04,,3209.808,1541.949182,2027.964844,0.08105560792,100.3,1031.990015,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.207623243,,
1400000,0,-0.278,,3278.268,1542.692184,2027.964844,0.07936019686,100.3,1034.065802,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.193081141,0.01014978532,0.002863656962
1420000,0,-0.129,,3304.696,1542.3851,2027.964844,0.07873054623,100.3,1034.829923,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.184605598,,
1440000,0,0.092,,3376.235,1542.791093,2027.964844,0.0770609319,100.3,1036.119048,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.206808805,0.01348760072,0.00746514136
1460000,0,0.041,,3397.132,1542.574546,2027.964844,0.07658058771,100.3,1035.842871,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.186492443,,
1480000,0,0,,3474.543,1542.857555,2027.964844,0.07486941381,100.3,1034.239581,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.164930344,0.01086781733,0.004571719095
1500000,0,0.011,,3500.709,1542.602107,2027.964844,0.07430875576,100.3,1033.964753,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.172528028,,
1520000,0,0.106,,3570.7,1542.822647,2027.964844,0.07286077379,100.3,1033.814007,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.165089369,0.00979151018,0.008351345547
1540000,0,-0.29,,3590.966,1542.541308,2027.964844,0.07245155855,100.3,1034.325301,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.143221617,,
1560000,0,-0.161,,3664.405,1542.93584,2027.964844,0.0709961475,100.3,1034.105865,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.16295433,0.01200426184,0.01161236688
1580000,0,0.106,,3688.179,1542.681024,2027.964844,0.07054963084,100.3,1034.411366,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.146819592,,
1600000,0,-0.119,,3750.583,1543.083954,2027.964844,0.0693734875,100.3,1035.782926,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.127980709,0.01321750507,0.007157334127
1620000,0,-0.171,,3773.47,1542.676223,2027.964844,0.06894708712,100.3,1036.193914,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.162348032,,
1640000,0,-0.084,,3833.529,1543.024812,2027.964844,0.06787687451,100.3,1037.195754,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.127227545,0.0140685495,0.01457600947
1660000,0,0.168,,3857.456,1542.751459,2027.964844,0.06745098039,100.3,1037.605899,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.15387392,,
1680000,0,0.045,,3918.845,1543.317494,2027.964844,0.06639217705,100.3,1038.525347,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.138588905,0.01067331713,0.01407116093
1700000,0,-0.012,,3943.328,1543.111605,2027.964844,0.06598465473,100.3,1038.890265,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.146117449,,
1720000,0,0.087,,4002.936,1543.740207,2027.964844,0.06500377929,100.3,1039.773125,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.109972477,0.01297018956,0.01546521857
1740000,0,-0.193,,4023.576,1543.62577,2027.964844,0.06466165414,100.3,1040.085354,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.125362158,,
