Second;RAM_KB
0;6176.00000000000000000000000000000000000000000000000000
1;302336.00000000000000000000000000000000000000000000000000
2;374720.00000000000000000000000000000000000000000000000000
3;692068.00000000000000000000000000000000000000000000000000
4;748488.00000000000000000000000000000000000000000000000000
5;804384.00000000000000000000000000000000000000000000000000
6;896044.00000000000000000000000000000000000000000000000000
7;932620.00000000000000000000000000000000000000000000000000
8;956280.00000000000000000000000000000000000000000000000000
9;978592.00000000000000000000000000000000000000000000000000
10;984784.00000000000000000000000000000000000000000000000000
11;987444.00000000000000000000000000000000000000000000000000
12;992732.00000000000000000000000000000000000000000000000000
13;998012.00000000000000000000000000000000000000000000000000
14;1005616.00000000000000000000000000000000000000000000000000
15;1012400.00000000000000000000000000000000000000000000000000
16;1020360.00000000000000000000000000000000000000000000000000
17;1024260.00000000000000000000000000000000000000000000000000
18;1030408.00000000000000000000000000000000000000000000000000
19;1033596.00000000000000000000000000000000000000000000000000
20;1039848.00000000000000000000000000000000000000000000000000
21;1043404.00000000000000000000000000000000000000000000000000
22;1046284.00000000000000000000000000000000000000000000000000
23;1049784.00000000000000000000000000000000000000000000000000
24;1054312.00000000000000000000000000000000000000000000000000
25;1058352.00000000000000000000000000000000000000000000000000
26;1065256.00000000000000000000000000000000000000000000000000
27;1070468.00000000000000000000000000000000000000000000000000
28;1077080.00000000000000000000000000000000000000000000000000
29;1081048.00000000000000000000000000000000000000000000000000
30;1084548.00000000000000000000000000000000000000000000000000
31;1090332.00000000000000000000000000000000000000000000000000
32;1094332.00000000000000000000000000000000000000000000000000
33;1099512.00000000000000000000000000000000000000000000000000
34;1106916.00000000000000000000000000000000000000000000000000
35;1113412.00000000000000000000000000000000000000000000000000
36;1117268.00000000000000000000000000000000000000000000000000
37;1123500.00000000000000000000000000000000000000000000000000
38;1127976.00000000000000000000000000000000000000000000000000
39;1131412.00000000000000000000000000000000000000000000000000
40;1135024.00000000000000000000000000000000000000000000000000
41;1141668.00000000000000000000000000000000000000000000000000
42;1145408.00000000000000000000000000000000000000000000000000
43;1150436.00000000000000000000000000000000000000000000000000
44;1156388.00000000000000000000000000000000000000000000000000
45;1163752.00000000000000000000000000000000000000000000000000
46;1168568.00000000000000000000000000000000000000000000000000
47;1173628.00000000000000000000000000000000000000000000000000
48;1180872.00000000000000000000000000000000000000000000000000
49;1180872.00000000000000000000000000000000000000000000000000
50;1401140.00000000000000000000000000000000000000000000000000
51;1400992.00000000000000000000000000000000000000000000000000
52;1400928.00000000000000000000000000000000000000000000000000
53;1400928.00000000000000000000000000000000000000000000000000
54;1400928.00000000000000000000000000000000000000000000000000
55;1400992.00000000000000000000000000000000000000000000000000
56;1400640.00000000000000000000000000000000000000000000000000
57;1400992.00000000000000000000000000000000000000000000000000
58;1400992.00000000000000000000000000000000000000000000000000
