Second;RAM_KB
0;6804.00000000000000000000000000000000000000000000000000
1;311192.00000000000000000000000000000000000000000000000000
2;374100.00000000000000000000000000000000000000000000000000
3;686484.00000000000000000000000000000000000000000000000000
4;748788.00000000000000000000000000000000000000000000000000
5;804632.00000000000000000000000000000000000000000000000000
6;895328.00000000000000000000000000000000000000000000000000
7;932208.00000000000000000000000000000000000000000000000000
8;959988.00000000000000000000000000000000000000000000000000
9;981436.00000000000000000000000000000000000000000000000000
10;987316.00000000000000000000000000000000000000000000000000
11;992548.00000000000000000000000000000000000000000000000000
12;997980.00000000000000000000000000000000000000000000000000
13;1002932.00000000000000000000000000000000000000000000000000
14;1008768.00000000000000000000000000000000000000000000000000
15;1014168.00000000000000000000000000000000000000000000000000
16;1018540.00000000000000000000000000000000000000000000000000
17;1024336.00000000000000000000000000000000000000000000000000
18;1029632.00000000000000000000000000000000000000000000000000
19;1034336.00000000000000000000000000000000000000000000000000
20;1039636.00000000000000000000000000000000000000000000000000
21;1044160.00000000000000000000000000000000000000000000000000
22;1049284.00000000000000000000000000000000000000000000000000
23;1054228.00000000000000000000000000000000000000000000000000
24;1059244.00000000000000000000000000000000000000000000000000
25;1064956.00000000000000000000000000000000000000000000000000
26;1069052.00000000000000000000000000000000000000000000000000
27;1075344.00000000000000000000000000000000000000000000000000
28;1079644.00000000000000000000000000000000000000000000000000
29;1085504.00000000000000000000000000000000000000000000000000
30;1090240.00000000000000000000000000000000000000000000000000
31;1093764.00000000000000000000000000000000000000000000000000
32;1099148.00000000000000000000000000000000000000000000000000
33;1105408.00000000000000000000000000000000000000000000000000
34;1111304.00000000000000000000000000000000000000000000000000
35;1116252.00000000000000000000000000000000000000000000000000
36;1120772.00000000000000000000000000000000000000000000000000
37;1125004.00000000000000000000000000000000000000000000000000
38;1132724.00000000000000000000000000000000000000000000000000
39;1135800.00000000000000000000000000000000000000000000000000
40;1142184.00000000000000000000000000000000000000000000000000
41;1145592.00000000000000000000000000000000000000000000000000
42;1153924.00000000000000000000000000000000000000000000000000
43;1157436.00000000000000000000000000000000000000000000000000
44;1162344.00000000000000000000000000000000000000000000000000
45;1165108.00000000000000000000000000000000000000000000000000
46;1170424.00000000000000000000000000000000000000000000000000
47;1174312.00000000000000000000000000000000000000000000000000
48;1179784.00000000000000000000000000000000000000000000000000
49;1182256.00000000000000000000000000000000000000000000000000
50;1367644.00000000000000000000000000000000000000000000000000
51;1368452.00000000000000000000000000000000000000000000000000
52;1368580.00000000000000000000000000000000000000000000000000
53;1368712.00000000000000000000000000000000000000000000000000
54;1368300.00000000000000000000000000000000000000000000000000
55;1368844.00000000000000000000000000000000000000000000000000
56;1368108.00000000000000000000000000000000000000000000000000
57;1368656.00000000000000000000000000000000000000000000000000
58;1368464.00000000000000000000000000000000000000000000000000
59;1368520.00000000000000000000000000000000000000000000000000
60;1368396.00000000000000000000000000000000000000000000000000
61;1368576.00000000000000000000000000000000000000000000000000
62;1368584.00000000000000000000000000000000000000000000000000
63;1368784.00000000000000000000000000000000000000000000000000
64;1368620.00000000000000000000000000000000000000000000000000
65;1368276.00000000000000000000000000000000000000000000000000
66;1368596.00000000000000000000000000000000000000000000000000
67;1368752.00000000000000000000000000000000000000000000000000
68;1368016.00000000000000000000000000000000000000000000000000
69;1368564.00000000000000000000000000000000000000000000000000
70;1368208.00000000000000000000000000000000000000000000000000
71;1368624.00000000000000000000000000000000000000000000000000
72;1368496.00000000000000000000000000000000000000000000000000
73;1368304.00000000000000000000000000000000000000000000000000
74;1368564.00000000000000000000000000000000000000000000000000
75;1368016.00000000000000000000000000000000000000000000000000
76;1368752.00000000000000000000000000000000000000000000000000
77;1368752.00000000000000000000000000000000000000000000000000
78;1368208.00000000000000000000000000000000000000000000000000
79;1368560.00000000000000000000000000000000000000000000000000
80;1368016.00000000000000000000000000000000000000000000000000
81;1368752.00000000000000000000000000000000000000000000000000
82;1368492.00000000000000000000000000000000000000000000000000
83;1368304.00000000000000000000000000000000000000000000000000
84;1368560.00000000000000000000000000000000000000000000000000
85;1368368.00000000000000000000000000000000000000000000000000
86;1368492.00000000000000000000000000000000000000000000000000
87;1368368.00000000000000000000000000000000000000000000000000
88;1368496.00000000000000000000000000000000000000000000000000
89;1368276.00000000000000000000000000000000000000000000000000
90;1262908.00000000000000000000000000000000000000000000000000
91;1263728.00000000000000000000000000000000000000000000000000
92;1266512.00000000000000000000000000000000000000000000000000
93;1268188.00000000000000000000000000000000000000000000000000
94;1269704.00000000000000000000000000000000000000000000000000
95;1272740.00000000000000000000000000000000000000000000000000
96;1274312.00000000000000000000000000000000000000000000000000
97;1276900.00000000000000000000000000000000000000000000000000
98;1278880.00000000000000000000000000000000000000000000000000
99;1281172.00000000000000000000000000000000000000000000000000
100;1283744.00000000000000000000000000000000000000000000000000
101;1285520.00000000000000000000000000000000000000000000000000
102;1288152.00000000000000000000000000000000000000000000000000
103;1290708.00000000000000000000000000000000000000000000000000
104;1292284.00000000000000000000000000000000000000000000000000
105;1295384.00000000000000000000000000000000000000000000000000
106;1296956.00000000000000000000000000000000000000000000000000
107;1301500.00000000000000000000000000000000000000000000000000
108;1303412.00000000000000000000000000000000000000000000000000
109;1307200.00000000000000000000000000000000000000000000000000
110;1309444.00000000000000000000000000000000000000000000000000
111;1315024.00000000000000000000000000000000000000000000000000
112;1317660.00000000000000000000000000000000000000000000000000
113;1319232.00000000000000000000000000000000000000000000000000
114;1324480.00000000000000000000000000000000000000000000000000
115;1326344.00000000000000000000000000000000000000000000000000
116;1328372.00000000000000000000000000000000000000000000000000
117;1334000.00000000000000000000000000000000000000000000000000
118;1335364.00000000000000000000000000000000000000000000000000
119;1337176.00000000000000000000000000000000000000000000000000
120;1342012.00000000000000000000000000000000000000000000000000
121;1343820.00000000000000000000000000000000000000000000000000
122;1346352.00000000000000000000000000000000000000000000000000
123;1348964.00000000000000000000000000000000000000000000000000
124;1353468.00000000000000000000000000000000000000000000000000
125;1355692.00000000000000000000000000000000000000000000000000
126;1358260.00000000000000000000000000000000000000000000000000
127;1360604.00000000000000000000000000000000000000000000000000
128;1366360.00000000000000000000000000000000000000000000000000
129;1367340.00000000000000000000000000000000000000000000000000
130;1369596.00000000000000000000000000000000000000000000000000
131;1373020.00000000000000000000000000000000000000000000000000
132;1373000.00000000000000000000000000000000000000000000000000
133;1372660.00000000000000000000000000000000000000000000000000
134;1372660.00000000000000000000000000000000000000000000000000
135;1372660.00000000000000000000000000000000000000000000000000
136;1372884.00000000000000000000000000000000000000000000000000
137;1372884.00000000000000000000000000000000000000000000000000
138;1372884.00000000000000000000000000000000000000000000000000
