Second;RAM_KB
0;9748.00000000000000000000000000000000000000000000000000
1;258980.00000000000000000000000000000000000000000000000000
2;345860.00000000000000000000000000000000000000000000000000
3;394020.00000000000000000000000000000000000000000000000000
4;681956.00000000000000000000000000000000000000000000000000
5;728480.00000000000000000000000000000000000000000000000000
6;776200.00000000000000000000000000000000000000000000000000
7;813280.00000000000000000000000000000000000000000000000000
8;822344.00000000000000000000000000000000000000000000000000
9;822780.00000000000000000000000000000000000000000000000000
10;822812.00000000000000000000000000000000000000000000000000
11;823920.00000000000000000000000000000000000000000000000000
12;825992.00000000000000000000000000000000000000000000000000
13;828592.00000000000000000000000000000000000000000000000000
14;850760.00000000000000000000000000000000000000000000000000
15;898740.00000000000000000000000000000000000000000000000000
16;917324.00000000000000000000000000000000000000000000000000
17;924728.00000000000000000000000000000000000000000000000000
18;931492.00000000000000000000000000000000000000000000000000
19;934456.00000000000000000000000000000000000000000000000000
20;938500.00000000000000000000000000000000000000000000000000
21;978024.00000000000000000000000000000000000000000000000000
22;980420.00000000000000000000000000000000000000000000000000
23;983552.00000000000000000000000000000000000000000000000000
24;988072.00000000000000000000000000000000000000000000000000
25;1228148.00000000000000000000000000000000000000000000000000
26;1227920.00000000000000000000000000000000000000000000000000
27;1227956.00000000000000000000000000000000000000000000000000
28;1227952.00000000000000000000000000000000000000000000000000
29;1227976.00000000000000000000000000000000000000000000000000
30;1228060.00000000000000000000000000000000000000000000000000
31;1228080.00000000000000000000000000000000000000000000000000
32;1227676.00000000000000000000000000000000000000000000000000
33;1228668.00000000000000000000000000000000000000000000000000
34;1229164.00000000000000000000000000000000000000000000000000
35;1230216.00000000000000000000000000000000000000000000000000
36;1232140.00000000000000000000000000000000000000000000000000
37;1232100.00000000000000000000000000000000000000000000000000
38;1232172.00000000000000000000000000000000000000000000000000
39;1232104.00000000000000000000000000000000000000000000000000
40;1232220.00000000000000000000000000000000000000000000000000
41;1232172.00000000000000000000000000000000000000000000000000
42;1222712.00000000000000000000000000000000000000000000000000
43;1223804.00000000000000000000000000000000000000000000000000
44;1224676.00000000000000000000000000000000000000000000000000
45;1226284.00000000000000000000000000000000000000000000000000
46;1227704.00000000000000000000000000000000000000000000000000
47;1228200.00000000000000000000000000000000000000000000000000
48;1229216.00000000000000000000000000000000000000000000000000
49;1230448.00000000000000000000000000000000000000000000000000
50;1230352.00000000000000000000000000000000000000000000000000
51;1230576.00000000000000000000000000000000000000000000000000
52;1230504.00000000000000000000000000000000000000000000000000
53;1230860.00000000000000000000000000000000000000000000000000
54;1230636.00000000000000000000000000000000000000000000000000
55;1231080.00000000000000000000000000000000000000000000000000
56;1231104.00000000000000000000000000000000000000000000000000
57;1231004.00000000000000000000000000000000000000000000000000
58;1231260.00000000000000000000000000000000000000000000000000
59;1232408.00000000000000000000000000000000000000000000000000
60;1232408.00000000000000000000000000000000000000000000000000
61;1232344.00000000000000000000000000000000000000000000000000
62;1232720.00000000000000000000000000000000000000000000000000
63;1232652.00000000000000000000000000000000000000000000000000
64;1233008.00000000000000000000000000000000000000000000000000
65;1233056.00000000000000000000000000000000000000000000000000
66;1233056.00000000000000000000000000000000000000000000000000
67;1233540.00000000000000000000000000000000000000000000000000
68;1233540.00000000000000000000000000000000000000000000000000
69;1233504.00000000000000000000000000000000000000000000000000
70;1233632.00000000000000000000000000000000000000000000000000
71;1234216.00000000000000000000000000000000000000000000000000
72;1234032.00000000000000000000000000000000000000000000000000
73;1234096.00000000000000000000000000000000000000000000000000
74;1233872.00000000000000000000000000000000000000000000000000
75;1234128.00000000000000000000000000000000000000000000000000
76;1234660.00000000000000000000000000000000000000000000000000
77;1235480.00000000000000000000000000000000000000000000000000
78;1235468.00000000000000000000000000000000000000000000000000
79;1235504.00000000000000000000000000000000000000000000000000
80;1236020.00000000000000000000000000000000000000000000000000
81;1236016.00000000000000000000000000000000000000000000000000
82;1236128.00000000000000000000000000000000000000000000000000
83;1236144.00000000000000000000000000000000000000000000000000
84;1235916.00000000000000000000000000000000000000000000000000
85;1235656.00000000000000000000000000000000000000000000000000
86;1235692.00000000000000000000000000000000000000000000000000
87;1224564.00000000000000000000000000000000000000000000000000
88;1225360.00000000000000000000000000000000000000000000000000
89;1226784.00000000000000000000000000000000000000000000000000
90;1228568.00000000000000000000000000000000000000000000000000
91;1230168.00000000000000000000000000000000000000000000000000
92;1231176.00000000000000000000000000000000000000000000000000
93;1231364.00000000000000000000000000000000000000000000000000
94;1231140.00000000000000000000000000000000000000000000000000
95;1231104.00000000000000000000000000000000000000000000000000
96;1231984.00000000000000000000000000000000000000000000000000
97;1231964.00000000000000000000000000000000000000000000000000
98;1231924.00000000000000000000000000000000000000000000000000
99;1231792.00000000000000000000000000000000000000000000000000
100;1232324.00000000000000000000000000000000000000000000000000
101;1233548.00000000000000000000000000000000000000000000000000
102;1233620.00000000000000000000000000000000000000000000000000
103;1233428.00000000000000000000000000000000000000000000000000
104;1232900.00000000000000000000000000000000000000000000000000
105;1233372.00000000000000000000000000000000000000000000000000
106;1233284.00000000000000000000000000000000000000000000000000
107;1233536.00000000000000000000000000000000000000000000000000
108;1233632.00000000000000000000000000000000000000000000000000
109;1233348.00000000000000000000000000000000000000000000000000
110;1233292.00000000000000000000000000000000000000000000000000
111;1233224.00000000000000000000000000000000000000000000000000
112;1233224.00000000000000000000000000000000000000000000000000
113;1233692.00000000000000000000000000000000000000000000000000
114;1233768.00000000000000000000000000000000000000000000000000
115;1233780.00000000000000000000000000000000000000000000000000
116;1233928.00000000000000000000000000000000000000000000000000
117;1233504.00000000000000000000000000000000000000000000000000
118;1233956.00000000000000000000000000000000000000000000000000
119;1234148.00000000000000000000000000000000000000000000000000
120;1233892.00000000000000000000000000000000000000000000000000
121;1234664.00000000000000000000000000000000000000000000000000
122;1234680.00000000000000000000000000000000000000000000000000
123;1234896.00000000000000000000000000000000000000000000000000
124;1234880.00000000000000000000000000000000000000000000000000
125;1234624.00000000000000000000000000000000000000000000000000
126;1234464.00000000000000000000000000000000000000000000000000
127;1234464.00000000000000000000000000000000000000000000000000
128;1234464.00000000000000000000000000000000000000000000000000
129;1234764.00000000000000000000000000000000000000000000000000
130;1234848.00000000000000000000000000000000000000000000000000
131;1233000.00000000000000000000000000000000000000000000000000
132;1232856.00000000000000000000000000000000000000000000000000
133;1233556.00000000000000000000000000000000000000000000000000
134;1233712.00000000000000000000000000000000000000000000000000
135;1233460.00000000000000000000000000000000000000000000000000
136;1233904.00000000000000000000000000000000000000000000000000
137;1234040.00000000000000000000000000000000000000000000000000
138;1234052.00000000000000000000000000000000000000000000000000
139;1233696.00000000000000000000000000000000000000000000000000
140;1234120.00000000000000000000000000000000000000000000000000
141;1233868.00000000000000000000000000000000000000000000000000
142;1234688.00000000000000000000000000000000000000000000000000
143;1234656.00000000000000000000000000000000000000000000000000
144;1234652.00000000000000000000000000000000000000000000000000
145;1235120.00000000000000000000000000000000000000000000000000
146;1235132.00000000000000000000000000000000000000000000000000
147;1235132.00000000000000000000000000000000000000000000000000
148;1235140.00000000000000000000000000000000000000000000000000
149;1234940.00000000000000000000000000000000000000000000000000
150;1234772.00000000000000000000000000000000000000000000000000
151;1234700.00000000000000000000000000000000000000000000000000
152;1234960.00000000000000000000000000000000000000000000000000
153;1235088.00000000000000000000000000000000000000000000000000
154;1234940.00000000000000000000000000000000000000000000000000
155;1234948.00000000000000000000000000000000000000000000000000
156;1234700.00000000000000000000000000000000000000000000000000
157;1234552.00000000000000000000000000000000000000000000000000
158;1234552.00000000000000000000000000000000000000000000000000
159;1234480.00000000000000000000000000000000000000000000000000
160;1233848.00000000000000000000000000000000000000000000000000
161;1233944.00000000000000000000000000000000000000000000000000
162;1233920.00000000000000000000000000000000000000000000000000
163;1234084.00000000000000000000000000000000000000000000000000
164;1234084.00000000000000000000000000000000000000000000000000
165;1234392.00000000000000000000000000000000000000000000000000
166;1235596.00000000000000000000000000000000000000000000000000
167;1235488.00000000000000000000000000000000000000000000000000
168;1235456.00000000000000000000000000000000000000000000000000
169;1235924.00000000000000000000000000000000000000000000000000
170;1236204.00000000000000000000000000000000000000000000000000
171;1236204.00000000000000000000000000000000000000000000000000
172;1236352.00000000000000000000000000000000000000000000000000
173;1236080.00000000000000000000000000000000000000000000000000
174;1235776.00000000000000000000000000000000000000000000000000
175;1235996.00000000000000000000000000000000000000000000000000
176;1234564.00000000000000000000000000000000000000000000000000
177;1234820.00000000000000000000000000000000000000000000000000
178;1234828.00000000000000000000000000000000000000000000000000
179;1234512.00000000000000000000000000000000000000000000000000
180;1235224.00000000000000000000000000000000000000000000000000
181;1234932.00000000000000000000000000000000000000000000000000
182;1234900.00000000000000000000000000000000000000000000000000
183;1226180.00000000000000000000000000000000000000000000000000
184;1226848.00000000000000000000000000000000000000000000000000
185;1228256.00000000000000000000000000000000000000000000000000
186;1229724.00000000000000000000000000000000000000000000000000
187;1231688.00000000000000000000000000000000000000000000000000
188;1233684.00000000000000000000000000000000000000000000000000
189;1233596.00000000000000000000000000000000000000000000000000
190;1233560.00000000000000000000000000000000000000000000000000
191;1232784.00000000000000000000000000000000000000000000000000
192;1232924.00000000000000000000000000000000000000000000000000
193;1233288.00000000000000000000000000000000000000000000000000
194;1233304.00000000000000000000000000000000000000000000000000
195;1233580.00000000000000000000000000000000000000000000000000
196;1233968.00000000000000000000000000000000000000000000000000
